"codmunres","ano","nascimentos","partos_na_macro_com_1mais_uti","partos_na_macro_com_4mais_uti","partos_na_macro_sem_1mais_uti","partos_na_macro_sem_4mais_uti","partos_fora_macro_com_1mais_uti","partos_fora_macro_com_4mais_uti","partos_fora_macro_sem_1mais_uti","partos_fora_macro_sem_4mais_uti","partos_na_macro_sem_inf","partos_fora_macro_sem_inf"
140050,2024,2,1,1,1,1,0,0,0,0,0,0
140050,2025,4,3,3,1,1,0,0,0,0,0,0
140060,2023,0,0,0,0,0,0,0,0,0,0,0
140060,2024,1,1,1,0,0,0,0,0,0,0,0
140060,2025,0,0,0,0,0,0,0,0,0,0,0
140070,2023,6,5,5,0,0,0,0,0,0,1,0
140070,2024,5,3,3,0,0,0,0,0,0,2,0
140070,2025,5,3,3,0,0,0,0,0,0,2,0
150010,2023,28,19,19,9,9,0,0,0,0,0,0
150010,2024,17,13,13,4,4,0,0,0,0,0,0
150010,2025,24,14,14,10,10,0,0,0,0,0,0
150013,2023,0,0,0,0,0,0,0,0,0,0,0
150013,2024,1,0,0,1,1,0,0,0,0,0,0
150013,2025,1,0,0,1,1,0,0,0,0,0,0
